project,benchmark,params,warmupTime,measurementTime,warmupIterations,measurementIterations,forks,warmupTimeSec,measurementTimeSec,warmupIterationsTime,measurementIterationsTime,forkTime,time
raphw/byte-buddy,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxy,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
raphw/byte-buddy,net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkJdkProxy,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
raphw/byte-buddy,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddySpecialized,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
raphw/byte-buddy,net.bytebuddy.benchmark.StubInvocationBenchmark.baseline,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
raphw/byte-buddy,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessorAndReusedDelegatorWithTypePool,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
raphw/byte-buddy,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyWithTypePool,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
raphw/byte-buddy,net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddyWithProxy,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
raphw/byte-buddy,net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJavassist,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
raphw/byte-buddy,net.bytebuddy.benchmark.ClassByImplementationBenchmark.baseline,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
raphw/byte-buddy,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegatorWithTypePool,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
raphw/byte-buddy,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkCglib,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
raphw/byte-buddy,net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkCglib,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
raphw/byte-buddy,net.bytebuddy.benchmark.ClassByImplementationBenchmark.benchmarkCglib,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
raphw/byte-buddy,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithProxyAndReusedDelegator,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
raphw/byte-buddy,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefixAndReusedDelegatorWithTypePool,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
raphw/byte-buddy,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithPrefix,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
raphw/byte-buddy,net.bytebuddy.benchmark.TrivialClassCreationBenchmark.benchmarkJdkProxy,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
raphw/byte-buddy,net.bytebuddy.benchmark.SuperClassInvocationBenchmark.benchmarkByteBuddySpecialized,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
raphw/byte-buddy,net.bytebuddy.benchmark.SuperClassInvocationBenchmark.baseline,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
raphw/byte-buddy,net.bytebuddy.benchmark.ClassByExtensionBenchmark.benchmarkByteBuddyWithAccessor,,1 s,1 s,20,20,10,1.0,1.0,20.0,20.0,40.0,400.0
yellowstonegames/SquidLib,squidpony.performance.DataStructureBenchmark.insertStringSquidMildOS3,NEED_TO_ENLARGE=1&SIZE=65536,10 s,10 s,6,4,1,10.0,10.0,60.0,40.0,100.0,100.0
yellowstonegames/SquidLib,squidpony.performance.MathBenchmark.measureMathAtan2,,10 s,10 s,5,5,1,10.0,10.0,50.0,50.0,100.0,100.0
yellowstonegames/SquidLib,squidpony.performance.HashBenchmark.BenchmarkState.measureHastyPointHash2D,,10 s,10 s,5,5,5,10.0,10.0,50.0,50.0,100.0,500.0
yellowstonegames/SquidLib,squidpony.performance.DataStructureBenchmark.insertStringGdxOM2,NEED_TO_ENLARGE=2&SIZE=65536,10 s,10 s,6,4,1,10.0,10.0,60.0,40.0,100.0,100.0
