benchmark,technique,ci
JCTools__JCTools#org.jctools.jmh.baseline.SingleThreadedPoll.poll#qType=MpscArrayQueue,Cov,"(0.999971668006295, 1.0010874000802144)"
JCTools__JCTools#org.jctools.jmh.baseline.SingleThreadedPoll.poll#qType=MpscArrayQueue,Divergence,"(0.999920075607089, 1.0001037725087907)"
JCTools__JCTools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.alignedPrimitiveArgsBaseline#limit=128000,Dev,"(0.8822708991095535, 1.2221918767944504)"
JCTools__JCTools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.alignedPrimitiveArgsBaseline#limit=128000,Ci,"(0.8599416998072811, 1.0813053495821514)"
JCTools__JCTools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.alignedPrimitiveArgsBaseline#limit=128000,Cov,"(0.8847629615535605, 1.0767676402766948)"
JCTools__JCTools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.alignedPrimitiveArgsBaseline#limit=128000,Divergence,"(0.8816661222992677, 1.2192742503239087)"
JCTools__JCTools#org.jctools.jmh.latency.QueueBurstCost.burstCost#burstSize=100&consumerCount=1&qCapacity=132000&qType=SpmcArrayQueue&warmup=true,Dev,"(0.5191587676293733, 1.0589321865426915)"
JCTools__JCTools#org.jctools.jmh.latency.QueueBurstCost.burstCost#burstSize=100&consumerCount=1&qCapacity=132000&qType=SpmcArrayQueue&warmup=true,Ci,"(0.44392769794964654, 0.9129665191974362)"
JCTools__JCTools#org.jctools.jmh.latency.QueueBurstCost.burstCost#burstSize=100&consumerCount=1&qCapacity=132000&qType=SpmcArrayQueue&warmup=true,Cov,"(0.45301431317950036, 0.9074592211346236)"
JCTools__JCTools#org.jctools.jmh.latency.QueueBurstCost.burstCost#burstSize=100&consumerCount=1&qCapacity=132000&qType=SpmcArrayQueue&warmup=true,Divergence,"(0.4847658011084264, 1.0759439286904617)"
JCTools__JCTools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneReferenceArgBaseline#limit=128000,Dev,"(0.903995570999755, 1.0566228279536043)"
JCTools__JCTools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneReferenceArgBaseline#limit=128000,Ci,"(0.9189541412546972, 1.0671923611100926)"
JCTools__JCTools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneReferenceArgBaseline#limit=128000,Cov,"(0.8640238713739321, 1.0219797315895403)"
JCTools__JCTools#org.jctools.channels.spsc.SpscProxyChannelBenchmark.oneReferenceArgBaseline#limit=128000,Divergence,"(0.9060314120623102, 1.0790621516925043)"
JCTools__JCTools#org.jctools.jmh.latency.spsc.MpqRelaxedBurstCost.burstCost#burstSize=1&qType=SpmcArrayQueue,Dev,"(0.7961564950608989, 1.3856909580198773)"
